,ds,y
224,2019-05-22 03:00:00,75.0
225,2019-05-22 04:00:00,74.0
226,2019-05-22 05:00:00,73.0
227,2019-05-22 06:00:00,72.0
228,2019-05-22 07:00:00,71.0
229,2019-05-22 08:00:00,73.0
230,2019-05-22 09:00:00,78.0
231,2019-05-22 10:00:00,81.0
232,2019-05-22 11:00:00,82.0
233,2019-05-22 12:00:00,85.0
234,2019-05-22 13:00:00,87.0
235,2019-05-22 14:00:00,89.0
236,2019-05-22 15:00:00,90.0
237,2019-05-22 16:00:00,91.0
238,2019-05-22 17:00:00,92.0
239,2019-05-22 18:00:00,91.0
240,2019-05-22 19:00:00,90.0
241,2019-05-22 20:00:00,89.0
242,2019-05-22 21:00:00,85.0
243,2019-05-22 22:00:00,85.0
244,2019-05-22 23:00:00,83.0
245,2019-05-23 00:00:00,81.0
246,2019-05-23 01:00:00,79.0
247,2019-05-23 02:00:00,78.0
248,2019-05-23 03:00:00,77.0
249,2019-05-23 04:00:00,77.0
250,2019-05-23 05:00:00,76.0
251,2019-05-23 06:00:00,75.0
252,2019-05-23 07:00:00,74.0
253,2019-05-23 08:00:00,75.0
254,2019-05-23 09:00:00,78.0
255,2019-05-23 10:00:00,80.0
256,2019-05-23 11:00:00,82.0
257,2019-05-23 12:00:00,83.0
258,2019-05-23 13:00:00,85.0
259,2019-05-23 14:00:00,87.0
260,2019-05-23 15:00:00,87.0
261,2019-05-23 16:00:00,88.0
262,2019-05-23 17:00:00,88.0
263,2019-05-23 18:00:00,88.0
264,2019-05-23 19:00:00,88.0
265,2019-05-23 20:00:00,87.0
266,2019-05-23 21:00:00,86.0
267,2019-05-23 22:00:00,84.0
268,2019-05-23 23:00:00,82.0
269,2019-05-24 00:00:00,80.0
270,2019-05-24 01:00:00,78.0
271,2019-05-24 02:00:00,77.0
272,2019-05-24 03:00:00,76.0
273,2019-05-24 04:00:00,75.0
274,2019-05-24 05:00:00,74.0
275,2019-05-24 06:00:00,74.0
276,2019-05-24 07:00:00,73.0
277,2019-05-24 08:00:00,74.0
278,2019-05-24 09:00:00,78.0
279,2019-05-24 10:00:00,81.0
280,2019-05-24 11:00:00,84.0
281,2019-05-24 12:00:00,87.0
282,2019-05-24 13:00:00,89.0
