,ds,y
85,2019-05-16 08:00:00,76.0
86,2019-05-16 09:00:00,76.0
87,2019-05-16 10:00:00,76.0
88,2019-05-16 11:00:00,76.0
89,2019-05-16 12:00:00,77.0
90,2019-05-16 13:00:00,76.0
91,2019-05-16 14:00:00,76.0
92,2019-05-16 15:00:00,76.0
93,2019-05-16 16:00:00,76.0
94,2019-05-16 17:00:00,76.0
95,2019-05-16 18:00:00,77.0
96,2019-05-16 19:00:00,77.0
97,2019-05-16 20:00:00,76.0
98,2019-05-16 21:00:00,76.0
99,2019-05-16 22:00:00,76.0
100,2019-05-16 23:00:00,76.0
101,2019-05-17 00:00:00,76.0
102,2019-05-17 01:00:00,76.0
103,2019-05-17 02:00:00,76.0
104,2019-05-17 03:00:00,76.0
105,2019-05-17 04:00:00,76.0
106,2019-05-17 05:00:00,76.0
107,2019-05-17 06:00:00,76.0
108,2019-05-17 07:00:00,76.0
109,2019-05-17 08:00:00,76.0
110,2019-05-17 09:00:00,76.0
111,2019-05-17 10:00:00,76.0
112,2019-05-17 11:00:00,76.0
113,2019-05-17 12:00:00,76.0
114,2019-05-17 13:00:00,76.0
115,2019-05-17 14:00:00,76.0
116,2019-05-17 15:00:00,76.0
117,2019-05-17 16:00:00,76.0
118,2019-05-17 17:00:00,76.0
119,2019-05-17 18:00:00,77.0
120,2019-05-17 19:00:00,77.0
121,2019-05-17 20:00:00,77.0
122,2019-05-17 21:00:00,77.0
123,2019-05-17 22:00:00,77.0
124,2019-05-17 23:00:00,76.0
125,2019-05-18 00:00:00,76.0
126,2019-05-18 01:00:00,78.0
127,2019-05-18 02:00:00,77.0
128,2019-05-18 03:00:00,77.0
129,2019-05-18 04:00:00,77.0
130,2019-05-18 05:00:00,77.0
131,2019-05-18 06:00:00,77.0
132,2019-05-18 07:00:00,77.0
133,2019-05-18 08:00:00,77.0
134,2019-05-18 09:00:00,77.0
135,2019-05-18 10:00:00,77.0
136,2019-05-18 11:00:00,77.0
137,2019-05-18 12:00:00,78.0
138,2019-05-18 13:00:00,77.0
139,2019-05-18 14:00:00,77.0
140,2019-05-18 15:00:00,77.0
141,2019-05-18 16:00:00,76.0
142,2019-05-18 17:00:00,76.0
143,2019-05-18 18:00:00,77.0
144,2019-05-18 19:00:00,77.0
145,2019-05-18 20:00:00,77.0
146,2019-05-18 21:00:00,77.0
147,2019-05-18 22:00:00,77.0
148,2019-05-18 23:00:00,77.0
149,2019-05-19 00:00:00,77.0
150,2019-05-19 01:00:00,77.0
151,2019-05-19 02:00:00,76.0
152,2019-05-19 03:00:00,76.0
153,2019-05-19 04:00:00,76.0
154,2019-05-19 05:00:00,76.0
155,2019-05-19 06:00:00,76.0
156,2019-05-19 07:00:00,76.0
157,2019-05-19 08:00:00,76.0
158,2019-05-19 09:00:00,76.0
159,2019-05-19 10:00:00,76.0
160,2019-05-19 11:00:00,76.0
161,2019-05-19 12:00:00,76.0
162,2019-05-19 13:00:00,76.0
163,2019-05-19 14:00:00,76.0
164,2019-05-19 15:00:00,77.0
165,2019-05-19 16:00:00,77.0
166,2019-05-19 17:00:00,77.0
167,2019-05-19 18:00:00,76.0
168,2019-05-19 19:00:00,76.0
169,2019-05-19 20:00:00,76.0
170,2019-05-19 21:00:00,76.0
171,2019-05-19 22:00:00,77.0
172,2019-05-19 23:00:00,77.0
173,2019-05-20 00:00:00,77.0
174,2019-05-20 01:00:00,77.0
175,2019-05-20 02:00:00,77.0
176,2019-05-20 03:00:00,77.0
177,2019-05-20 04:00:00,77.0
178,2019-05-20 05:00:00,77.0
179,2019-05-20 06:00:00,77.0
180,2019-05-20 07:00:00,77.0
181,2019-05-20 08:00:00,76.0
182,2019-05-20 09:00:00,76.0
183,2019-05-20 10:00:00,77.0
184,2019-05-20 11:00:00,77.0
185,2019-05-20 12:00:00,77.0
186,2019-05-20 13:00:00,77.0
187,2019-05-20 14:00:00,77.0
188,2019-05-20 15:00:00,76.0
189,2019-05-20 16:00:00,76.0
190,2019-05-20 17:00:00,77.0
191,2019-05-20 18:00:00,77.0
192,2019-05-20 19:00:00,77.0
193,2019-05-20 20:00:00,77.0
194,2019-05-20 21:00:00,78.0
195,2019-05-20 22:00:00,79.0
196,2019-05-20 23:00:00,78.0
197,2019-05-21 00:00:00,77.0
198,2019-05-21 01:00:00,76.0
199,2019-05-21 02:00:00,76.0
200,2019-05-21 03:00:00,76.0
201,2019-05-21 04:00:00,76.0
202,2019-05-21 05:00:00,76.0
203,2019-05-21 06:00:00,76.0
204,2019-05-21 07:00:00,76.0
205,2019-05-21 08:00:00,76.0
206,2019-05-21 09:00:00,76.0
207,2019-05-21 10:00:00,76.0
208,2019-05-21 11:00:00,76.0
209,2019-05-21 12:00:00,76.0
210,2019-05-21 13:00:00,76.0
211,2019-05-21 14:00:00,76.0
212,2019-05-21 15:00:00,76.0
213,2019-05-21 16:00:00,76.0
214,2019-05-21 17:00:00,76.0
215,2019-05-21 18:00:00,76.0
216,2019-05-21 19:00:00,76.0
217,2019-05-21 20:00:00,76.0
218,2019-05-21 21:00:00,76.0
219,2019-05-21 22:00:00,76.0
220,2019-05-21 23:00:00,76.0
221,2019-05-22 00:00:00,75.0
222,2019-05-22 01:00:00,75.0
223,2019-05-22 02:00:00,76.0
224,2019-05-22 03:00:00,76.0
225,2019-05-22 04:00:00,76.0
226,2019-05-22 05:00:00,76.0
227,2019-05-22 06:00:00,76.0
228,2019-05-22 07:00:00,76.0
229,2019-05-22 08:00:00,76.0
230,2019-05-22 09:00:00,75.0
231,2019-05-22 10:00:00,75.0
232,2019-05-22 11:00:00,76.0
233,2019-05-22 12:00:00,76.0
234,2019-05-22 13:00:00,76.0
235,2019-05-22 14:00:00,76.0
236,2019-05-22 15:00:00,76.0
237,2019-05-22 16:00:00,77.0
238,2019-05-22 17:00:00,77.0
239,2019-05-22 18:00:00,77.0
240,2019-05-22 19:00:00,77.0
241,2019-05-22 20:00:00,77.0
242,2019-05-22 21:00:00,77.0
243,2019-05-22 22:00:00,76.0
244,2019-05-22 23:00:00,77.0
245,2019-05-23 00:00:00,77.0
246,2019-05-23 01:00:00,77.0
247,2019-05-23 02:00:00,77.0
248,2019-05-23 03:00:00,77.0
249,2019-05-23 04:00:00,77.0
250,2019-05-23 05:00:00,77.0
251,2019-05-23 06:00:00,77.0
252,2019-05-23 07:00:00,77.0
253,2019-05-23 08:00:00,77.0
254,2019-05-23 09:00:00,77.0
255,2019-05-23 10:00:00,78.0
256,2019-05-23 11:00:00,77.0
257,2019-05-23 12:00:00,77.0
258,2019-05-23 13:00:00,77.0
259,2019-05-23 14:00:00,77.0
260,2019-05-23 15:00:00,77.0
261,2019-05-23 16:00:00,78.0
262,2019-05-23 17:00:00,78.0
263,2019-05-23 18:00:00,78.0
264,2019-05-23 19:00:00,78.0
265,2019-05-23 20:00:00,78.0
266,2019-05-23 21:00:00,77.0
267,2019-05-23 22:00:00,78.0
268,2019-05-23 23:00:00,78.0
269,2019-05-24 00:00:00,77.0
270,2019-05-24 01:00:00,76.0
271,2019-05-24 02:00:00,76.0
272,2019-05-24 03:00:00,76.0
273,2019-05-24 04:00:00,76.0
274,2019-05-24 05:00:00,76.0
275,2019-05-24 06:00:00,76.0
276,2019-05-24 07:00:00,76.0
277,2019-05-24 08:00:00,76.0
278,2019-05-24 09:00:00,76.0
279,2019-05-24 10:00:00,77.0
280,2019-05-24 11:00:00,76.0
281,2019-05-24 12:00:00,77.0
282,2019-05-24 13:00:00,77.0
