,TIME_STAMP,TEMPERATURE_Out,GAS_Out,PRESSURE_Out,TEMPERATURE_In
140,2019-05-18 15:00:00,87.8,723933.0,983.3,76.6
141,2019-05-18 16:00:00,87.3,723933.0,982.6,76.1
142,2019-05-18 17:00:00,87.6,723933.0,982.3,76.2
143,2019-05-18 18:00:00,87.1,723933.0,982.1,76.8
144,2019-05-18 19:00:00,85.0,723933.0,981.9,76.9
145,2019-05-18 20:00:00,84.2,723933.0,982.1,77.0
146,2019-05-18 21:00:00,81.3,723933.0,982.6,76.7
147,2019-05-18 22:00:00,78.6,723933.0,983.2,77.2
148,2019-05-18 23:00:00,76.5,723933.0,983.7,77.0
149,2019-05-19 00:00:00,76.0,1096316.8,983.8,77.0
150,2019-05-19 01:00:00,74.0,1219108.4,983.8,76.6
151,2019-05-19 02:00:00,72.4,998918.1,983.7,76.4
152,2019-05-19 03:00:00,72.1,828628.3,983.6,76.1
153,2019-05-19 04:00:00,70.8,382279.1,983.8,76.0
154,2019-05-19 05:00:00,70.1,198901.8,984.1,76.0
155,2019-05-19 06:00:00,69.7,366830.6,984.2,76.0
156,2019-05-19 07:00:00,68.9,354030.1,984.6,76.0
157,2019-05-19 08:00:00,70.1,333724.9,985.1,76.0
158,2019-05-19 09:00:00,73.9,325581.0,985.2,76.0
159,2019-05-19 10:00:00,77.5,502338.3,984.7,76.0
160,2019-05-19 11:00:00,80.7,1086738.9,984.8,76.0
161,2019-05-19 12:00:00,83.0,1003008.8,984.9,76.0
162,2019-05-19 13:00:00,85.1,723933.0,984.3,76.0
163,2019-05-19 14:00:00,86.8,723933.0,983.7,76.1
164,2019-05-19 15:00:00,88.0,723933.0,983.2,76.6
165,2019-05-19 16:00:00,89.0,723933.0,982.8,76.7
166,2019-05-19 17:00:00,88.5,723933.0,982.5,76.7
167,2019-05-19 18:00:00,88.8,723933.0,982.3,76.3
168,2019-05-19 19:00:00,87.4,723933.0,982.2,76.0
169,2019-05-19 20:00:00,84.7,723933.0,982.2,76.0
170,2019-05-19 21:00:00,80.9,723933.0,982.8,76.0
171,2019-05-19 22:00:00,77.7,723933.0,983.1,77.0
172,2019-05-19 23:00:00,76.0,723933.0,983.4,76.7
173,2019-05-20 00:00:00,74.8,723933.0,983.7,76.8
174,2019-05-20 01:00:00,73.2,723933.0,983.7,77.0
175,2019-05-20 02:00:00,72.1,1003755.4,983.7,77.0
176,2019-05-20 03:00:00,71.5,1278154.9,983.8,77.0
177,2019-05-20 04:00:00,71.0,1061629.2,983.9,77.0
178,2019-05-20 05:00:00,71.2,895309.2,983.9,77.0
179,2019-05-20 06:00:00,71.7,713315.7,984.1,77.0
180,2019-05-20 07:00:00,72.0,179225.0,984.6,76.9
181,2019-05-20 08:00:00,72.5,330362.9,985.2,76.0
182,2019-05-20 09:00:00,75.6,270070.8,985.5,76.4
183,2019-05-20 10:00:00,77.8,674939.0,985.6,76.8
184,2019-05-20 11:00:00,79.9,951348.3,985.4,76.8
185,2019-05-20 12:00:00,79.9,977328.1,985.4,76.9
186,2019-05-20 13:00:00,82.8,1115798.2,985.0,77.0
187,2019-05-20 14:00:00,85.2,1336583.5,984.5,76.5
188,2019-05-20 15:00:00,87.5,913765.0,983.7,76.4
189,2019-05-20 16:00:00,87.9,723933.0,983.0,76.4
190,2019-05-20 17:00:00,88.2,723933.0,982.6,76.8
191,2019-05-20 18:00:00,88.3,723933.0,982.3,77.0
192,2019-05-20 19:00:00,87.2,723933.0,982.2,77.1
193,2019-05-20 20:00:00,84.7,723933.0,982.1,77.4
194,2019-05-20 21:00:00,80.6,723933.0,982.2,77.9
